Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
All You Need Is Love	UNION	UNION001_All_You_Need_Is_Love	L	Mission - Campaign		2				R	1		When each battle phase starts, if you have at least two units with different names in the  same arena, choose two of them. Each of the chosen units get Lucky 2 until end of turn. | When each battle phase ends, if at least two of your units with different names in the  same arena didn't attack this turn, gain 2 Force.		
Anakin Skywalker (E2)	UNION	UNION002_Anakin_Skywalker_E2	L	Character	Republic Jedi Padawan	6	60	5	5	R	2		Reduced Cost 5: If Padme Amidala is in any arena. | Focus 2 | Pay 2 Force -> Absorb 2 | INSERT: Whenever Anakin untaps, gain 1 Force.		
Anakin Solo (F)	UNION	UNION003_Anakin_Solo_F	L	Character	New Republic Jedi Knight	6	60	5	5	R	3		Last Stand: Tap or untap up to 2 Characters. | As long as Tahiri Veila is in play, Anakin gets the  abilities of each other Anakin Solo card in his stack. | Discard Anakin -> Prevent all damage to a unit. | Pay 2 Force -> Absorb 2		
Ark Angel II (A)	UNION	UNION004_Ark_Angel_II_A	N	Space	Independent Smuggler Assassin Gunship	6	50	4	5	R	4		Reduced Cost 5: If Doctor Aphra is in any arena. | Armor | Tap -> Choose one: Add 2 counters to a Resource. Or: Put 2 counters of any type on one of your units. | INSERT: Stack: Any unit with "Angel" in its name.		
Bastila Shan (E)	UNION	UNION005_Bastila_Shan_E	L	Character	Old Republic Jedi Knight	6	50	5	5	R	5		Velocity 20 | Accuracy 1 | Pay 2 Force -> Persuade 2 | Pay 2 Force -> Protect 2 | INSERT: Revan gets +2 power.		
Ben's Spirit (A)	UNION	UNION006_Ben_s_Spirit_A	L	Character	Jedi Spirit	4	30	0	2	R	6		Ben's Spirit doesn't count toward arena control. | Prevent all damage to and from Ben's Spirit. | You may stack Ben's Spirit beneath Rey or Rey Skywalker. Ben's Spirit can't be on top of that stack. | INSERT: Upkeep: Gain 1 Force, put 1 redemption  counter on a unit, or remove 1 corruption counter from a unit.		
Bloom	UNION	UNION007_Bloom	N	Mission		2				R	7		Choose a unit with the Stack ability. If you do, search your deck for up to 2 unique unit cards listed by name in the chosen unit's Stack ability, reveal them, and put them into your hand. Shuffle your deck. Then, you may choose one:  Gain 2 Force. Or: The next time the chosen unit would be damaged this turn, prevent 2 of that damage. 		
Bounty Hunter Gang (H)	UNION	UNION008_Bounty_Hunter_Gang_H	N	Ground/Character	Independent Bounty Hunter Squad	6	60	5	5	R	8		Stack: Any unique Bounty Hunter Character. | Reveal a Bounty Hunter card in your hand with the same name as a card in Bounty Hunter Gang's stack -> Bounty Hunter Gang gets that card's Bounty and activated abilities until end of turn. | Discard a card from your hand -> Absorb 2		
Change of Heart	UNION	UNION009_Change_of_Heart	N	Equipment	Space/Ground/Character - Trait	2				R	9		When one of your units taps, put 2 redemption counters on it and attach this Trait to it. | Equipped unit gets "You may remove redemption counters from this unit to pay for its Force-activated abilities, with 1 redemption counter equal to 1 Force." | Equipped unique unit also gets "Tap one of your other units with total build cost 2 or more in this arena -> Put 2 redemption counters on this unit." and "Pay 1 Force -> Persuade 1." 		
Cinta Kaz (A)	UNION	UNION010_Cinta_Kaz_A	L	Character	Rebel Agent	4	40	3	4	R	10		Hidden Cost 3 | Vel Sartha gets each of Cinta's activated abilities. | Discard a card from your hand -> Absorb 1 | Pay 1 Force -> Ambush 3. Play up to twice per instance if the Ambushed unit is Dark Side.		
Clan Beviin (A)	UNION	UNION011_Clan_Beviin_A	N	Ground/Character	Mandalorian Warrior Squad - Mandalore	8	40	6	6	R	11		Accuracy 1 | Armor | Each of your Mandalorians gets Lucky 1 and Stun 1.		
