Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Astarte Twins (A)	VDR	VDR001_Astarte_Twins_A	D	Character	Celanon Imperial Cyborgs	7	60	3	7	R	1		Accuracy 1 | Parry 2 | Double Strike | When the turn ends, if you did not use any Force activated abilities during the Character battle step, remove 2 damage counters from Astarte Twins.		REB
Commander Karbin (A)	VDR	VDR002_Commander_Karbin_A	D	Character	Mon Calamari Cyborg Imperial Officer	7	50	6	6	R	2		Hidden Cost 4 | Parry 2 | When Karbin attacks and does damage after damage prevention, he does 1 more damage to the defending unit. | Pay 1 Force  -> Deflect 1		REB
Darth Sidious (T)	VDR	VDR003_Darth_Sidious_T	D	Character	Imperial Sith Lord - Dark Jedi Master	7	30	5	6	R	3		Ferocity | Forewarning: Gain 2 Force. | Pay 4 Force -> One of your opponent's units loses up to 2 abilities until end of turn. Play only when no unit is attacking. | Pay 2 Force -> Persuade 2		REB
Darth Vader (J2)	VDR	VDR004_Darth_Vader_J2	D	Character	Imperial Dark Jedi Sith Lord	8	50	6	6	R	4		Armor | Pay X Force, remove X mastery counters from Vader -> Put X damage counters on a unit in the  Character arena. Play only when Vader would attack. | Pay 2 Force -> Evade X, up to 4, where X is the number of mastery counters on Vader. | INSERT: Treat Vader as a Cyborg. | INSERT: Whenever a Jedi is discarded from the  Character arena, put 1 mastery counter on Vader.		REB
Darth Vader (K2)	VDR	VDR005_Darth_Vader_K2	D	Ground/Character	Imperial Dark Jedi Sith Lord	8	50	6	6	R	5		Switch: -1 Power, Fury 3/Stun 2, Overkill | Armor | Pay 2 Force -> Search your deck for a card with Vader in it's name or game text. reveal it, and put it into your hand. Shuffle your deck. | Pay 2 Force -> Evade 2 and Persuade 1 | INSERT: Treat Vader as a Cyborg.		REB
Darth Vader's Kill Switch (A)	VDR	VDR006_Darth_Vader_s_Kill_Switch_A	N	Equipment	Character - Device	3				R	6		Pay 0 Force -> Equip | Equipped Character gets " [tap] -> Tap Darth Vader and put 1 captivity counter on him." and "Darth Vader gets Fury 5 when attacking this unit."		REB
Executor (F)	VDR	VDR007_Executor_F	D	Space	Imperial Capital Ship - Flagship	10	10	9	9	R	7		Armor | Overkill | When you search your deck for a card for the first time in a turn, gain 2 Force | INSERT: Each of your Imperial Locations gets "Upkeep: Add 1 counter to your Resource."		REB
Tulon Voidgazer (A)	VDR	VDR008_Tulon_Voidgazer_A	D	Character	Imperial Cyborg Scientist	6	50	2	5	R	8		Upkeep: Put a damage counter on one of your Cyborgs in any arena, or tap Voidgazer. | Each of your Cyborgs gets Armor. | [tap] -> Choose one of your opponent's units with printed build cost less than or equal to the number of Cyborgs you have in play. Tap that unit.		REB
Vader's Victory	VDR	VDR009_Vader_s_Victory	N	Battle						R	9		Pay 10 Force -> Darth Vader gets +10 power and Accuracy 1 for this attack. 		REB
Voidgazer's Cyberanimate Rancor (A)	VDR	VDR010_Voidgazer_s_Cyberanimate_Rancor_A	N	Ground/Character	Rancor Cyborg Creature	12	40	9	9	R	10		Switch: Armor/Parry 2 | Area Damage 4 | Your opponent's units in this arena can't use Force- activated abilities unless Voidgazer's Cyberanimate Rancor has rolled dice for an attack this turn.		REB
