Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Amphistaff Attack	VP	VP001_Amphistaff_Attack	Y	Battle						R	1		Remove 2 cards from your discard pile from the game -> Choose one of your opponent's Characters. This turn, the chosen Character loses Parry and can't use Deflect, Evade or Intercept.		NEW, LEG
Anakin Solo (B)	VP	VP002_Anakin_Solo_B	L	Character	New Republic Jedi Knight	5	40	4	4	R	2		Lucky 2 | Pay 1 Force -> Deflect 1 | Squadron and Starfighter Pilot. The Squadron or Starfighter gets:  - Accuracy 1  - Lucky 2  - Pay 1 Force -> Intercept.		NEW, LEG
Caled Galfridian (A)	VP	VP003_Caled_Galfridian_A	L	Character	Artorian King - Independent Officer	11	30	5	8	R	3		Inspiration | When you deploy Caled, you may search your deck for an Equipment card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | Each of your Squads gets +2 power and Fury 2 when attacking a Yuuzhan Vong.		NEW, LEG
Centerpoint Station (A)	VP	VP004_Centerpoint_Station_A	N	Space	Independent Battle Station	14	10	0	20	R	4		Tap, Pay 2 Force -> Choose an arena and roll a die. If you roll a 1, discard one of your units from the chosen arena. If you roll a 2 or 3, discard one of your units and one of your opponent's units in the chosen arena. If you roll a 4 or 5, discard one of your opponent' s units from the chosen arena. If you roll a 6, discard all of your opponent's units from the chosen arena. Play only if you and your opponent each have a unit in the chosen arena and only when Centerpoint Station would attack.		NEW, LEG
Chewbacca (U)	VP	VP005_Chewbacca_U	L	Character	New Republic Wookiee	7	40	7	7	R	5		Whenever one of your other Characters would be discarded from the Character arena, you may discard Chewbacca from the Character arena and remove him from the game instead. If you do, gain 2 Force, retreat that Character, and remove all damage counters from it.		NEW, LEG
Collapse	VP	VP006_Collapse	N	Mission - Trap		2				R	6		When one of your Characters would do 4 or more damage (before damage prevention) to a defending unit, your opponent loses 2 Force and taps the defending unit.		NEW, LEG
Corran Horn (C)	VP	VP007_Corran_Horn_C	L	Character	New Republic Jedi Master	7	50	6	6	R	7		Your opponent's Characters can't retreat. | Each of your opponent's Characters loses Precision. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1 | Pay 1 Force -> Intercept		NEW, LEG
Da'Gara (A)	VP	VP008_Da'Gara_A	Y	Character	Yuuzhan Vong Officer	9	40	6	6	R	8		Stealth | When you deploy Da'Gara, take 1 60/4/2 Praetorite Vong Subordinate with "Accuracy 1" and "Precision" and put it into the Character arena. | Each of your other Yuuchan Vong in the Character arena gets +1 power.	<s><a>y</a><l>Spawn Praetorite Vong</l><f>/spawn Praetorite Vong;/s spawns Praetorite Vong Subordinate on deployment of Da'Gara</f></s>	NEW, LEG
Da'Gara's Worldship (A)	VP	VP009_Da_Gara_s_Worldship_A	Y	Space	Yuuzhan Vong Capital Ship - Flagship	9	20	6	9	R	9		Shields 1 | Each of your other Yuuzhan Vong in the Space arena gets Shields 1. | Equipment costs 1 less build point to attach to Da'Gara's Worldship.		NEW, LEG
Dovin Basal	VP	VP010_Dovin_Basal	Y	Equipment	Space - Biological Device	2				R	10		Pay 2 build points -> Equip | Equipped Space unit gets +10 speed, Shields 1, and "Whenever this unit attacks, the defending unit loses Shields for this attack." 		NEW, LEG
Elan (A)	VP	VP011_Elan_A	Y	Character	Yuuzhan Vong Agent - Spy	5	40	4	4	R	11		Damage Control 2 | Stealth | Tap -> Put 1 counter of any type on one of your opponent's Characters. Your opponent loses 1 Force. Play only when Elan would attack.		NEW, LEG
Finn Galfridian (A)	VP	VP012_Finn_Galfridian_A	L	Character	New Republic Jedi Padawan	8	60	6	6	R	12		As long as you have Luke Skywalker in any arena or your build zone, Finn gets +2 power. | As long as you have Jaina Solo in any arena or your build zone, Finn gets "Pay 1 Force -> Evade 1." | As long as Finn has a Lightsaber Weapon attached, he gets Parry 1 and Fury 2. | Pay 1 build point -> Remove up to 2 damage counters from one of your Droids. Play only during your build step.		NEW, LEG
Finn Galfridian (B)	VP	VP013_Finn_Galfridian_B	L	Character	New Republic Jedi Padawan	7	40	4	6	R	13		Each of your opponent's Yuuzhan Vong in the Ground and Character arena gets -10 speed, -1 power, and loses Stealth. | Tap -> Take 1 60/2/3 Prowl Subordinate with "Accuracy 1" and "Damage Control 2" and put it into the Character arena. Play only once per game. | Pay 2 Force -> Evade 2	<s><l>Tap to Spawn Prowl Subordinate</l><f>/spawn Prowl (A);/cr90;/s taps Finn Galfridian (B) to spawn a Prowl (A) Subordinate (can only be played once per game)</f></s>	NEW, LEG
Fire Breathers	VP	VP014_Fire_Breathers	Y	Ground	Yuuzhan Vong Creature Walker Squad	10	20	9	7	R	14		Armor | Damage from this unit can only be prevented by a Jedi. | Overkill		NEW, LEG
Galfridian Family (A)	VP	VP015_Galfridian_Family_A	L	Ground	Independent Force Sensitive Squad	6	40	5	5	R	15		Hidden Cost 4 | Stack: Caled Galfridian, Finn Galdfridian, Kaye Galfridian, and Nina Galfridian. | Galfridian Family's stack can have 1 extra card in it. | When the battle phase starts, choose an ability on another card in Galfridian Family's stack. Galdfridian Family gets the chosen ability until end of turn.		NEW, LEG
Grutchins	VP	VP016_Grutchins	Y	Equipment	Space - Biological Weapon	1				R	16		You can equip Grutchins to your opponent's Space units. Grutchins can't be detached. | Pay 2 build points -> Equip | Equipped Space unit gets "Upkeep: Put 1 damage counter on this unit or tap it." and "When this unit is discarded, remove Grutchins from the game."		NEW, LEG
