Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Gemini-class Star Destroyer	VV1	VV101_Gemini_class_Star_Destroyer	D	Space	Imperial Remnant Dark Jedi Capital Ship	11	30	6	7	R	1		Deploy: Take 1 Gemini-class Star Destroyer from outside the game and put it into the Space arena. | Shields 1 | When this unit is discarded or removed from the game, discard a Gemini-class Star Destroyer. | [Tap], Pay 8 Force -> Do 3 damage to each unit in the Ground arena. Play only when this unit would attack	<s><a>y</a><l>Spawn Gemini-class Star Destroyer</l><f>/spawn Gemini-class Star Destroyer (Promo);/s takes 1 Gemini-class Star Destroyer on deployment of Gemini-class Star Destroyer.</f></s>	
Margrave Juro (A)	VV1	VV102_Margrave_Juro_A	L	Character	Jedi Master	10	60	6	5	R	2		Hidden Cost 8 | Deploy: When one of your opponent's units uses a Force-activated ability this turn, disrupt it. | Focus 2 | Pay 2 Force -> Absorb 2		
The Elder (A)	VV1	VV103_The_Elder_A	D	Character	Independent Sith Lord	7	60	*	5	R	3		Bounty: Gain X Force, where X is half the total build cost of the discarded unit, rounded up. | When the Elder attacks, his printed power becomes X, where X is the total build cost of the defending unit. For Subordinates, X is 3. | Pay 2 Force -> Evade 2		
The Ronin (A)	VV1	VV104_The_Ronin_A	N	Character	Independent Dark Jedi - Sith Master	10	50	6	6	R	4		Bounty: Gain 1 build point. If the discarded unit was a Sith or Dark Jedi gain 2 build points instead. | Focus 3 | Parry 2 | Pay 3 Force -> Disrupt an attack against The Ronin. Play only once per turn and if your opponent has 2 or more units in the Character arena. 		
Visions	VV1	VV105_Visions	N	Event						R	5		When setup starts, each player gains 1 Force and adds 1 build point to their starting build point total. | Each player's unit cards get “Deploy: Gain 1 Force.”		
Am (A)	VV1	VV106_Am_A	D	Character	Imperial Remnant Dark Jedi	10	50	4	6	U	6		Double Strike | Overkill | Pay 3 Force -> Am gets Armor until end of turn. | Pay 2 Force -> Absorb 2		
Jedi Master and Apprentice (P)	VV1	VV107_Jedi_Master_and_Apprentice_P	L	Ground/Character	Jedi Explorer Squad	5	50	4	4	U	7		Deploy: Reveal a card in your opponent's build zone. | Whenever one of your Location cards is discarded from your hand, any arena, or put into your discard pile from your deck, draw a card. | Pay 2 Force -> Evade 2		
Karre (A)	VV1	VV108_Karre_A	N	Character	Independent Dark Jedi	7	60	3	5	U	8		Forewarning: Gain 2 Force. | Pay X Force, up to 5 -> Karre gets +X-1 power until end of turn. | Karre can attack units in the Space arena. | Pay 2 Force -> Persuade 2		
Kouru (A)	VV1	VV109_Kouru_A	D	Character	Rebel Dark Jedi - Sith Lord Pirate	6	40	6	4	U	9		Deploy: Take 1 50/2/2 Sith Pirate Subordinate with “Critical Hit 1” and “Fury 1” and put it into the Character arena. | Kouru gets Ferocity when attacking a unit with 4 or more damage counters on it. | Pay 2 Force -> Absorb 1 and Deflect 1	<s><a>y</a><l>Spawn Sith Pirate</l><f>/spawn Sith Pirate;/s spawns Sith Pirate Subordinate on deployment of Kouru (A).</f></s>	
Living in Harmony	VV1	VV110_Living_in_Harmony	L	Mission - Campaign		2				U	10		When each turn starts, if you have a Location in play, gain 1 Force and choose a subtype on one of your Locations in any arena. Each of your units in that arena gets the chosen subtype as long as the unit and that Location remain in that arena.		
Lop (A)	VV1	VV111_Lop_A	L	Character	Lepi Force Sensitive	5	60	3	4	U	11		When you deploy Lop or when your first build step starts take 1 40/1/2 TD-4 (A) Subordinate with “[Tap] -> The attacking Character gets Accuracy -1 until end of turn.” and put it into the Character arena. | Critical Hit 1 | Pay 1 Force -> Evade 2, and put 1 redemption counter on the attacking unit. 	<s><a>y</a><l>Spawn TD-4 (A)</l><f>/spawn TD-4 (A);/s spawns TD-4 (A) Subordinate on deployment of Lop (A)</f></s>	
Ocho (A)	VV1	VV112_Ocho_A	D	Character	Imperial Officer - Agent	5	60	5	4	U	12		Deploy: Take 1 40/3/3 ISB Detachment Subordinate with “Accuracy 1” and “Pay 1 Force -> Protect 1” and put it into the Ground arena. | When Ocho damages a unit for the first time each turn, that unit gets Accuracy -1 until end of turn. | Pay 2 Force -> Evade 2 	<s><l>Pay 2 Force to spawn ISB Detachment</l><f>/spawn ISB Detachment;/player stat1 -2;/s pays 2 Force to spawn an ISB Detachment subordinate when Ocho (A) deployed.</f></s>	
Restored Jedi	VV1	VV113_Restored_Jedi_v2	L	Ground	Jedi Squad	6	50	4	4	U	13		When an opponent's effect causes you to discard this card from your hand, you may put it into the Ground arena instead. | Deploy: Draw a card and gain 2 Force. | Pay 1 Force -> Evade 2		
Sith Hunters	VV1	VV114_Sith_Hunters	D	Ground	Sith Assassin Squad	5	50	4	4	U	14		Hidden Cost 3 | Deploy: Your opponent discards a card at random from their hand. | Accuracy 1 | Parry 1		
