Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Aphra's Team (B)	WAE	WAE001_Aphra_s_Team_B	N	Ground/Character	Bounty Hunter Gang Squad	8	40	6	6	R	1		Stack: Any unique Bounty Hunter. | Bounty: Put 1 credit counter on a unit. | Armor | Each of your opponent's Space units gets -10 Speed. | Pay 1 Force -> Persuade 1		REB
Bombinax (A)	WAE	WAE002_Bombinax_A	N	Character	Ktath'Atn Bodyguard Warrior	7	50	5	5	R	2		Armor | Parry 1 | As long as Bombinax has no damage counters on him, he gets Critical Hit 1. | Pay 1 Force -> Prevent 1 damage to a Force Sensitive Character or Jedi Character.		REB
Doctor Aphra (A)	WAE	WAE003_Doctor_Aphra_A	N	Character	Assassin Smuggler Historian	7	50	5	5	R	3		Upkeep: Put 1 corruption counter on Aphra. | Accuracy 1 | Remove 1 corruption counter from Aphra -> Deflect 1 | Pay 0 Force -> Evade 1 | INSERT: Cunning		REB
Extraction Team Misericorde (A)	WAE	WAE004_Extraction_Team_Misericorde_A	L	Ground/Character	Rebel Officer Assassin Squad	8	50	6	6	R	4		Stack: Any unique Rebel Officer. | Switch: Accuracy 1 / Focus 2 | Whenever one of your Rebels triggers Focus, you may pay 1 Force. if you do draw a card. | Discard a card from Misericorde's stack -> Absorb 2		REB
Hivebase-1 (A)	WAE	WAE005_Hivebase_1_A	D	Space	Imperial Station Facility	6	10	3	6	R	5		Armor | Each of your units with Equipment attached gets +1 Power. | Pay 0 Force -> Ambush 2 | Pay 0 Force -> Retaliate 3		REB
Immortal Rur (A)	WAE	WAE006_Immortal_Rur_A	N	Character	Jedi Master	9	50	6	6	R	6		Treat Rur as a Droid. | Bounty: Put 2 mastery counters on Rur. | Ferocity | Remove 1 mastery counter from Rur -> Deflect 1 | Pay 2 Force -> Evade 3		REB
Korin Aphra (A)	WAE	WAE007_Korin_Aphra_A	N	Character	Scientist Historian	4	30	3	3	R	7		You may stack Korin beneath Aphra's Team. Korin can't be on top of Aphra's Team's stack. | When the battle phase starts, Choose one: Look at your opponent's hand and discard a Location card. Or: Search your deck for a Location card, reveal it, and discard it. Shuffle Your deck. | INSERT: Lucky 2		REB
Krrsantan (C)	WAE	WAE008_Krrsantan_C	N	Character	Wookiee Gladiator Slave	8	40	6	8	R	8		Bounty: Put 2 captivity counters on Krrsantan. | Each of your Wookiees gets Fury X, where X is the number of captivity counters on Krrsantan. | Remove 1 captivity counter from Krrsantan ? Evade 2 | Pay 1 Force ? Retaliate 4		REB
Magna Tolvan (A)	WAE	WAE009_Magna_Tolvan_A	D	Character	Imperial Officer	5	40	4	4	R	9	Whenever your opponent is using an effect which instructs or allows them to search their deck for a card and show it to you, this is counts as the same as revealing the card for the purpose of Magna's 3rd effect.	Accuracy 1 | [tap] - > Ambush 5 | Whenever your opponent searches their deck for a card and reveals it, you may pay 3 Force. If you do, the card is removed from the game.		REB
Queen of Ktath'atn (A)	WAE	WAE010_Queen_of_Ktath_atn_A	N	Character	Force Sensitive Ktath'Atn Queen	7	50	5	5	R	10		Parry 2 | Reveal a Force Sensitive or Jedi unit card from your hand ? Put 1 mastery counter on the Queen. Play only when the Queen is attacked. | Pay X Force, where X is the number of mastery counters on the Queen ? Absorb X 		REB
Tam Posla (A)	WAE	WAE011_Tam_Posla_A	N	Character	Milvayne Police Officer	6	50	4	5	R	11		Hidden Cost 2 | Foresight: Put 1 captivity counter on a unit. | Armor | As long as one of your opponent's units has 1 or more captivity counters on it, Tam gets +2 power.		REB
The Farkiller of Oo'ob The Apostate (A)	WAE	WAE012_The_Farkiller_of_Oo_ob_The_Apostate_A	N	Equipment	Ground/Character – Lightsaber Blaster Weapon	2				R	12		Pay X+1 Force, where X is the number of cards in a unit's stack -> Equip to that unit. | Equipped non-Creature gets Focus 2 and Stun 2. | Equipped Jedi also gets Barrage 3, Bombard 3, and “This unit can't move arenas unless you pay X+1 Force, where X is the number of cards in this unit's stack.”		REB
Yonak (A)	WAE	WAE013_Yonak_A	N	Character	Rodian Crime Lord Cyborg	6	50	4	5	R	13		Lucky 1 | Parry 1 | Whenever a card is drawn or discarded from hand during the battle phase, put a credit counter on a unit. | When the battle phase starts, choose a unit in any arena. The chosen unit loses Armor until end of turn. 		REB
0-0-0 (A)	WAE	WAE014_0_0_0_A	N	Character	Crime Lord Assassin Protocol Droid	3	20	3	3	U	14		When one of your Crime units damages a unit and that unit is discarded, put 1 mastery counter on 0-0-0. | Remove X, up to 3, mastery counters from 0-0-0 -> 0-0-0 does X damage to a unit in any arena. Play only when no unit is attacking.		REB
Abersyn Symbiote	WAE	WAE015_Abersyn_Symbiote	N	Ground	Abersyn Creature Parasite	5	60	2	3	U	15		Upkeep: Put 1 captivity counter on a unit. | [tap] -> One of your opponent's Ground units or Characters gets -X power until end of turn, where X is the number of captivity counters on it. Whenever an attack from that unit ends this turn, that unit does X dice of damage to a unit of your choice in that arena.		REB
Ark Angel (A)	WAE	WAE016_Ark_Angel_A	N	Space	Crime Gang Gunship	6	50	4	4	U	16		Bounty: Gain 1 Build Point. | Accuracy 1 | Shields 1 | As long as Ark Angel has a Pilot, it gets Lucky 2. | When Ark Angel is discarded, gain 1 build point when your next build step starts. 		REB
Assault Raiders	WAE	WAE017_Assault_Raiders	N	Ground	Arbiflux Imperial Pirate Speeder Squad	5	70	3	3	U	17		Hidden Cost 3 | Critical Hit 2 | When you deploy this unit you may tap it. If you do, tap one of your opponent's Characters.		REB
BT-1 (A)	WAE	WAE018_Bt_1_A	N	Character	Blastomech Assassin Droid	5	40	4	4	U	18		Treat BT-1 as an Astromech. | Shields 1 | Whenever BT-1 attacks, choose one: BT-1 gets Accuracy 1 for this attack. Or: BT-1 gets Area Damage 2 for this attack. 		REB
Doctor Aphra (B)	WAE	WAE019_Doctor_Aphra_B	N	Character	Assassin Smuggler Historian	7	50	5	5	U	19		Whenever you roll at least one natural six (after rerolls) for Aphra's attack, she gets Double Damage for that attack. | Lucky 1 | Parry 2 | INSERT: Fortitude		REB
Gurtyl (A)	WAE	WAE020_Gurtyl_A	N	Ground	Qaberworm Creature	7	30	5	6	U	20		As long as Gurtyl has a pilot, Gurtyl gets Velocity 25 and +3 power. | Retreat Gurtyl -> Protect 4 | Pay 0 Force -> Retaliate 4		REB
Heist of Anthan Prime	WAE	WAE021_Heist_of_Anthan_Prime	N	Resource		3				U	21		Add 1 counter -> Search your deck for a card with “credit” in its game text, reveal it, and put it into your hand. Shuffle your deck. Play only during you build step. | Remove 3 counters -> Choose a non-build, non-damage counter type. Whenever your opponent would add 1 or more counters of that type to a card this turn, disrupt that and add 1 counter to this Resource instead. Play only during your build step. 		REB
Irresistible Force	WAE	WAE022_Irresistible_Force	N	Equipment	Character – Trait	1				U	22		When your opponent deploys a non-Creature, non-Droid Character, choose one of your non-Creature, non-Droid Characters and equip this Trait to it. | Equipped Character and the Character whose deployment triggered this Trait to be equipped each get “Upkeep: Gain 2 Force.” | Equipped Doctor Aphra also gets Lucky 2.		REB
Krrsantan (D)	WAE	WAE023_Krrsantan_D	N	Character	Wookiee Bounty Hunter	5	40	4	4	U	23		INSERT: Resilience 2 | [Pilot] Gunship Pilot. The Gunship gets: - This unit gets the Bounty Hunter subtype – Velocity 20 - +2 power – Pay 1 Force -> Retaliate 4 – Whenever Ark Angel does 3 or more damage with Retaliate, untap Ark Angel. 		REB
Pluripleq	WAE	WAE024_Pluripleq	N	Equipment	Character – Biological Device	3				U	24		Pay 2 Force -> Equip | Equipped Character gets “[tap] ->Gain an ability from another unit in this arena until end of turn.” | Equipped unique Scientist also gets “You may choose one of your opponent’s unique Characters with a different name from this unit. This unit contests with the chosen Character as if it had the same name until end of turn and you add 1 to your contesting bid. Play only during your build step and only once per turn.”		REB
